x,y
5.909999999999999698e-01,1.299322580241607907e-03
5.918248248248247911e-01,1.341573266121340660e-03
5.926496496496496125e-01,1.385109010119491869e-03
5.934744744744744338e-01,1.429965839837423836e-03
5.942992992992992551e-01,1.476180692561373598e-03
5.951241241241240765e-01,1.523791435094975708e-03
5.959489489489488978e-01,1.572836883930584743e-03
5.967737737737737191e-01,1.623356825762432235e-03
5.975985985985985405e-01,1.675392038344628194e-03
5.984234234234233618e-01,1.728984311696990300e-03
5.992482482482481831e-01,1.784176469661537690e-03
6.000730730730730045e-01,1.841012391812467397e-03
6.008978978978978258e-01,1.899537035722405690e-03
6.017227227227226471e-01,1.959796459587543130e-03
6.025475475475474685e-01,2.021837845214258678e-03
6.033723723723722898e-01,2.085709521369789182e-03
6.041971971971971112e-01,2.151460987499289809e-03
6.050220220220220435e-01,2.219142937811660696e-03
6.058468468468468648e-01,2.288807285736372404e-03
6.066716716716716862e-01,2.360507188753436895e-03
6.074964964964965075e-01,2.434297073598538919e-03
6.083213213213213288e-01,2.510232661845250308e-03
6.091461461461461502e-01,2.588370995866158195e-03
6.099709709709709715e-01,2.668770465174639690e-03
6.107957957957957928e-01,2.751490833148800916e-03
6.116206206206206142e-01,2.836593264139063153e-03
6.124454454454454355e-01,2.924140350960746995e-03
6.132702702702702569e-01,3.014196142772825483e-03
6.140950950950950782e-01,3.106826173343842784e-03
6.149199199199198995e-01,3.202097489706053155e-03
6.157447447447447209e-01,3.300078681198372575e-03
6.165695695695695422e-01,3.400839908898841291e-03
6.173943943943943635e-01,3.504452935447061740e-03
6.182192192192191849e-01,3.610991155256819581e-03
6.190440440440440062e-01,3.720529625119043098e-03
6.198688688688688275e-01,3.833145095195078858e-03
6.206936936936936489e-01,3.948916040399976998e-03
6.215185185185184702e-01,4.067922692175332533e-03
6.223433433433432915e-01,4.190247070651261993e-03
6.231681681681681129e-01,4.315973017196413422e-03
6.239929929929929342e-01,4.445186227355213925e-03
6.248178178178177555e-01,4.577974284171106197e-03
6.256426426426425769e-01,4.714426691894212790e-03
6.264674674674673982e-01,4.854634910071931909e-03
6.272922922922922195e-01,4.998692388020509712e-03
6.281171171171170409e-01,5.146694599675514376e-03
6.289419419419418622e-01,5.298739078818792865e-03
6.297667667667666835e-01,5.454925454679525158e-03
6.305915915915915049e-01,5.615355487906308063e-03
6.314164164164164372e-01,5.780133106907326540e-03
6.322412412412412586e-01,5.949364444555289670e-03
6.330660660660660799e-01,6.123157875253465790e-03
6.338908908908909012e-01,6.301624052358979593e-03
6.347157157157157226e-01,6.484875945959200048e-03
6.355405405405405439e-01,6.673028880996773916e-03
6.363653653653653652e-01,6.866200575738674004e-03
6.371901901901901866e-01,7.064511180584153414e-03
6.380150150150150079e-01,7.268083317206291451e-03
6.388398398398398292e-01,7.477042118021618236e-03
6.396646646646646506e-01,7.691515265981782069e-03
6.404894894894894719e-01,7.911633034680997170e-03
6.413143143143142932e-01,8.137528328772857672e-03
6.421391391391391146e-01,8.369336724689417639e-03
6.429639639639639359e-01,8.607196511655375304e-03
6.437887887887887572e-01,8.851248732989916088e-03
6.446136136136135786e-01,9.101637227688055137e-03
6.454384384384383999e-01,9.358508672273313164e-03
6.462632632632632212e-01,9.622012622913213298e-03
6.470880880880880426e-01,9.892301557788384103e-03
6.479129129129128639e-01,1.016953091970592901e-02
6.487377377377376853e-01,1.045385915894756802e-02
6.495625625625625066e-01,1.074544777634210344e-02
6.503873873873873279e-01,1.104446136655177178e-02
6.512122122122121493e-01,1.135106766156183770e-02
6.520370370370369706e-01,1.166543757436178282e-02
6.528618618618617919e-01,1.198774524280649123e-02
6.536866866866866133e-01,1.231816807364550723e-02
6.545115115115114346e-01,1.265688678670762526e-02
6.553363363363362559e-01,1.300408545922780885e-02
6.561611611611610773e-01,1.335995157030352327e-02
6.569859859859858986e-01,1.372467604546608218e-02
6.578108108108107199e-01,1.409845330135317716e-02
6.586356356356355413e-01,1.448148129046793881e-02
6.594604604604603626e-01,1.487396154600926362e-02
6.602852852852851839e-01,1.527609922675786554e-02
6.611101101101101163e-01,1.568810316200242375e-02
6.619349349349349376e-01,1.611018589648853874e-02
6.627597597597597590e-01,1.654256373537501060e-02
6.635845845845845803e-01,1.698545678917851368e-02
6.644094094094094016e-01,1.743908901868983924e-02
6.652342342342342230e-01,1.790368827984327102e-02
6.660590590590590443e-01,1.837948636852016968e-02
6.668838838838838656e-01,1.886671906526746559e-02
6.677087087087086870e-01,1.936562617991181845e-02
6.685335335335335083e-01,1.987645159604869982e-02
6.693583583583583296e-01,2.039944331538604341e-02
6.701831831831831510e-01,2.093485350192151803e-02
6.710080080080079723e-01,2.148293852593140957e-02
6.718328328328327936e-01,2.204395900774904979e-02
6.726576576576576150e-01,2.261817986131078873e-02
6.734824824824824363e-01,2.320587033744558533e-02
6.743073073073072576e-01,2.380730406688529380e-02
6.751321321321320790e-01,2.442275910297139752e-02
6.759569569569569003e-01,2.505251796403354728e-02
6.767817817817817216e-01,2.569686767541504158e-02
6.776066066066065430e-01,2.635609981111977987e-02
6.784314314314313643e-01,2.703051053505455339e-02
6.792562562562561856e-01,2.772040064184000396e-02
6.800810810810810070e-01,2.842607559716414656e-02
6.809059059059058283e-01,2.914784557764983283e-02
6.817307307307306496e-01,2.988602551020886136e-02
6.825555555555554710e-01,3.064093511085479865e-02
6.833803803803802923e-01,3.141289892294447245e-02
6.842052052052051136e-01,3.220224635481968439e-02
6.850300300300300460e-01,3.300931171681939502e-02
6.858548548548548673e-01,3.383443425763068418e-02
6.866796796796796887e-01,3.467795819995048157e-02
6.875045045045045100e-01,3.554023277542375792e-02
6.883293293293293313e-01,3.642161225882845077e-02
6.891541541541541527e-01,3.732245600147474779e-02
6.899789789789789740e-01,3.824312846378569164e-02
6.908038038038037953e-01,3.918399924702611198e-02
6.916286286286286167e-01,4.014544312414760480e-02
6.924534534534534380e-01,4.112784006971390710e-02
6.932782782782782594e-01,4.213157528887376962e-02
6.941031031031030807e-01,4.315703924534643882e-02
6.949279279279279020e-01,4.420462768838413770e-02
6.957527527527527234e-01,4.527474167867655275e-02
6.965775775775775447e-01,4.636778761316157765e-02
6.974024024024023660e-01,4.748417724870567652e-02
6.982272272272271874e-01,4.862432772461737496e-02
6.990520520520520087e-01,4.978866158395765795e-02
6.998768768768768300e-01,5.097760679360899272e-02
7.007017017017016514e-01,5.219159676306543705e-02
7.015265265265264727e-01,5.343107036190723746e-02
7.023513513513512940e-01,5.469647193591998385e-02
7.031761761761761154e-01,5.598825132182044112e-02
7.040010010010009367e-01,5.730686386055083154e-02
7.048258258258257580e-01,5.865277040910171075e-02
7.056506506506505794e-01,6.002643735082373311e-02
7.064754754754754007e-01,6.142833660419064895e-02
7.073003003003002220e-01,6.285894562997118573e-02
7.081251251251250434e-01,6.431874743677101769e-02
7.089499499499498647e-01,6.580823058490579969e-02
7.097747747747746860e-01,6.732788918856222327e-02
7.105995995995995074e-01,6.887822291620836201e-02
7.114244244244243287e-01,7.045973698921283168e-02
7.122492492492491500e-01,7.207294217863043084e-02
7.130740740740739714e-01,7.371835480011416919e-02
7.138988988988987927e-01,7.539649670691363215e-02
7.147237237237236140e-01,7.710789528091624434e-02
7.155485485485485464e-01,7.885308342169250473e-02
7.163733733733732567e-01,8.063259953350199183e-02
7.171981981981981891e-01,8.244698751022284944e-02
7.180230230230230104e-01,8.429679671815558384e-02
7.188478478478478317e-01,8.618258197667123810e-02
7.196726726726726531e-01,8.810490353665165197e-02
7.204974974974974744e-01,9.006432705668923622e-02
7.213223223223222957e-01,9.206142357700010381e-02
7.221471471471471171e-01,9.409676949101210275e-02
7.229719719719719384e-01,9.617094651458713006e-02
7.237967967967967597e-01,9.828454165283607991e-02
7.246216216216215811e-01,1.004381471644862078e-01
7.254464464464464024e-01,1.026323605237632192e-01
7.262712712712712237e-01,1.048677843797443249e-01
7.270960960960960451e-01,1.071450265131455443e-01
7.279209209209208664e-01,1.094646997905038832e-01
7.287457457457456877e-01,1.118274221157138371e-01
7.295705705705705091e-01,1.142338163788807343e-01
7.303953953953953304e-01,1.166845104024530622e-01
7.312202202202201518e-01,1.191801368845953196e-01
7.320450450450449731e-01,1.217213333397633435e-01
7.328698698698697944e-01,1.243087420364476642e-01
7.336946946946946158e-01,1.269430099320456307e-01
7.345195195195194371e-01,1.296247886048278453e-01
7.353443443443442584e-01,1.323547341829646451e-01
7.361691691691690798e-01,1.351335072705752149e-01
7.369939939939939011e-01,1.379617728707672186e-01
7.378188188188188334e-01,1.408402003056341556e-01
7.386436436436436548e-01,1.437694631331735140e-01
7.394684684684684761e-01,1.467502390611011287e-01
7.402932932932932975e-01,1.497832098575218318e-01
7.411181181181181188e-01,1.528690612584311659e-01
7.419429429429429401e-01,1.560084828720181838e-01
7.427677677677677615e-01,1.592021680797381933e-01
7.435925925925925828e-01,1.624508139341278579e-01
7.444174174174174041e-01,1.657551210533384778e-01
7.452422422422422255e-01,1.691157935123565603e-01
7.460670670670670468e-01,1.725335387308890300e-01
7.468918918918918681e-01,1.760090673578901255e-01
