x,y
6.580000000000000293e-01,1.487002508498726271e-03
6.587207207207207427e-01,1.535356071227751001e-03
6.594414414414414560e-01,1.585180311581190372e-03
6.601621621621621694e-01,1.636516461147270729e-03
6.608828828828828827e-01,1.689406792598010078e-03
6.616036036036035961e-01,1.743894642386465592e-03
6.623243243243243095e-01,1.800024433831662546e-03
6.630450450450450228e-01,1.857841700594776687e-03
6.637657657657658472e-01,1.917393110549966409e-03
6.644864864864865606e-01,1.978726490053225526e-03
6.652072072072072739e-01,2.041890848612648232e-03
6.659279279279279873e-01,2.106936403963156554e-03
6.666486486486487006e-01,2.173914607548974986e-03
6.673693693693694140e-01,2.242878170416854472e-03
6.680900900900901274e-01,2.313881089522984349e-03
6.688108108108108407e-01,2.386978674456536297e-03
6.695315315315315541e-01,2.462227574582516107e-03
6.702522522522522674e-01,2.539685806606668903e-03
6.709729729729729808e-01,2.619412782564944919e-03
6.716936936936936942e-01,2.701469338240032082e-03
6.724144144144144075e-01,2.785917762007203598e-03
6.731351351351351209e-01,2.872821824111766037e-03
6.738558558558558342e-01,2.962246806380142757e-03
6.745765765765766586e-01,3.054259532366531641e-03
6.752972972972973720e-01,3.148928397936954712e-03
6.760180180180180853e-01,3.246323402292477286e-03
6.767387387387387987e-01,3.346516179432851290e-03
6.774594594594595121e-01,3.449580030062227281e-03
6.781801801801802254e-01,3.555589953937946489e-03
6.789009009009009388e-01,3.664622682663587309e-03
6.796216216216216521e-01,3.776756712927012601e-03
6.803423423423423655e-01,3.892072340184214892e-03
6.810630630630630789e-01,4.010651692789407065e-03
6.817837837837837922e-01,4.132578766571678129e-03
6.825045045045045056e-01,4.257939459858444374e-03
6.832252252252252189e-01,4.386821608945466917e-03
6.839459459459459323e-01,4.519315024013289932e-03
6.846666666666667567e-01,4.655511525489553978e-03
6.853873873873874700e-01,4.795504980856450661e-03
6.861081081081081834e-01,4.939391341902561391e-03
6.868288288288288967e-01,5.087268682417632644e-03
6.875495495495496101e-01,5.239237236329153183e-03
6.882702702702703235e-01,5.395399436278931760e-03
6.889909909909910368e-01,5.555859952637876367e-03
6.897117117117117502e-01,5.720725732956804047e-03
6.904324324324324635e-01,5.890106041850855234e-03
6.911531531531531769e-01,6.064112501314839442e-03
6.918738738738738903e-01,6.242859131466566708e-03
6.925945945945946036e-01,6.426462391714984207e-03
6.933153153153153170e-01,6.615041222349464685e-03
6.940360360360360303e-01,6.808717086546565642e-03
6.947567567567567437e-01,7.007614012790038677e-03
6.954774774774774571e-01,7.211858637699687137e-03
6.961981981981982814e-01,7.421580249264409998e-03
6.969189189189189948e-01,7.636910830474070815e-03
6.976396396396397082e-01,7.857985103345356201e-03
6.983603603603604215e-01,8.084940573335188882e-03
6.990810810810811349e-01,8.317917574136073078e-03
6.998018018018018482e-01,8.557059312846946805e-03
7.005225225225225616e-01,8.802511915512451282e-03
7.012432432432432750e-01,9.054424473023773082e-03
7.019639639639639883e-01,9.312949087373362939e-03
7.026846846846847017e-01,9.578240918255631273e-03
7.034054054054054150e-01,9.850458230005559174e-03
7.041261261261261284e-01,1.012976243886620081e-02
