x,y
7.409999999999998810e-01,2.027730693407353828e-03
7.415285285285284633e-01,2.093667369856031229e-03
7.420570570570569346e-01,2.161609515792535952e-03
7.425855855855855170e-01,2.231613356109922713e-03
7.431141141141139883e-01,2.303736535360922932e-03
7.436426426426425706e-01,2.378038148708829392e-03
7.441711711711710420e-01,2.454578773406816683e-03
7.446996996996996243e-01,2.533420500811068166e-03
7.452282282282280956e-01,2.614626968931763051e-03
7.457567567567566780e-01,2.698263395527125599e-03
7.462852852852851493e-01,2.784396611744510263e-03
7.468138138138137316e-01,2.873095096313400387e-03
7.473423423423422030e-01,2.964429010294051398e-03
7.478708708708707853e-01,3.058470232386619695e-03
7.483993993993992566e-01,3.155292394804064086e-03
7.489279279279278390e-01,3.254970919713464066e-03
7.494564564564563103e-01,3.357583056248885246e-03
7.499849849849848926e-01,3.463207918100008609e-03
7.505135135135133639e-01,3.571926521679463958e-03
7.510420420420419463e-01,3.683821824872774136e-03
7.515705705705704176e-01,3.798978766373459649e-03
7.520990990990989999e-01,3.917484305606967407e-03
7.526276276276274713e-01,4.039427463245649254e-03
7.531561561561560536e-01,4.164899362317990399e-03
7.536846846846845249e-01,4.293993269914009835e-03
7.542132132132131073e-01,4.426804639489741872e-03
7.547417417417415786e-01,4.563431153772053855e-03
7.552702702702701609e-01,4.703972768266665404e-03
7.557987987987986322e-01,4.848531755369909525e-03
7.563273273273272146e-01,4.997212749086710204e-03
7.568558558558556859e-01,5.150122790355003699e-03
7.573843843843842683e-01,5.307371372978483999e-03
7.579129129129127396e-01,5.469070490167354109e-03
7.584414414414413219e-01,5.635334681688652231e-03
7.589699699699699043e-01,5.806281081625182250e-03
7.594984984984983756e-01,5.982029466743829169e-03
7.600270270270269579e-01,6.162702305472689615e-03
7.605555555555554292e-01,6.348424807485732874e-03
7.610840840840840116e-01,6.539324973895159834e-03
7.616126126126124829e-01,6.735533648048921962e-03
7.621411411411410652e-01,6.937184566933147015e-03
7.626696696696695366e-01,7.144414413176105282e-03
7.631981981981981189e-01,7.357362867653089236e-03
7.637267267267265902e-01,7.576172662687999902e-03
7.642552552552551726e-01,7.800989635850201845e-03
7.647837837837836439e-01,8.031962784342074058e-03
7.653123123123122262e-01,8.269244319974795171e-03
7.658408408408406975e-01,8.512989724727120650e-03
7.663693693693692799e-01,8.763357806884084986e-03
7.668978978978977512e-01,9.020510757749270261e-03
7.674264264264263335e-01,9.284614208927167295e-03
7.679549549549548049e-01,9.555837290168234244e-03
7.684834834834833872e-01,9.834352687772328003e-03
7.690120120120118585e-01,1.012033670354232397e-02
7.695405405405404409e-01,1.041396931428282407e-02
7.700690690690689122e-01,1.071543423183454746e-02
7.705975975975974945e-01,1.102491896363887516e-02
7.711261261261259659e-01,1.134261487382187683e-02
7.716546546546545482e-01,1.166871724479128999e-02
7.721831831831830195e-01,1.200342533933512930e-02
7.727117117117116019e-01,1.234694246321425826e-02
7.732402402402400732e-01,1.269947602823637278e-02
7.737687687687686555e-01,1.306123761580313403e-02
7.742972972972972379e-01,1.343244304091674272e-02
7.748258258258257092e-01,1.381331241663575314e-02
7.753543543543541805e-01,1.420407021896763142e-02
7.758828828828827628e-01,1.460494535218407990e-02
7.764114114114113452e-01,1.501617121454640151e-02
7.769399399399398165e-01,1.543798576442728145e-02
7.774684684684683988e-01,1.587063158681382632e-02
7.779969969969968702e-01,1.631435596017571932e-02
7.785255255255254525e-01,1.676941092368540095e-02
7.790540540540539238e-01,1.723605334477015458e-02
7.795825825825825062e-01,1.771454498698289692e-02
7.801111111111109775e-01,1.820515257817064206e-02
7.806396396396395598e-01,1.870814787892531236e-02
7.811681681681680312e-01,1.922380775129522296e-02
7.816966966966966135e-01,1.975241422774068334e-02
7.822252252252250848e-01,2.029425458031002341e-02
7.827537537537536672e-01,2.084962139001916848e-02
7.832822822822821385e-01,2.141881261640916218e-02
7.838108108108107208e-01,2.200213166726330480e-02
7.843393393393391921e-01,2.259988746845749755e-02
7.848678678678677745e-01,2.321239453392356586e-02
7.853963963963962458e-01,2.383997303569783399e-02
7.859249249249248281e-01,2.448294887403399886e-02
7.864534534534532995e-01,2.514165374755018140e-02
7.869819819819818818e-01,2.581642522338824935e-02
7.875105105105103531e-01,2.650760680735420385e-02
7.880390390390389355e-01,2.721554801401590909e-02
7.885675675675674068e-01,2.794060443672497299e-02
7.890960960960959891e-01,2.868313781753896799e-02
7.896246246246244604e-01,2.944351611700818036e-02
7.901531531531530428e-01,3.022211358380172061e-02
7.906816816816815141e-01,3.101931082413640628e-02
7.912102102102100964e-01,3.183549487098118191e-02
7.917387387387386788e-01,3.267105925299878394e-02
7.922672672672671501e-01,3.352640406319589567e-02
7.927957957957956214e-01,3.440193602724457567e-02
7.933243243243242038e-01,3.529806857143949483e-02
7.938528528528527861e-01,3.621522189025597888e-02
7.943813813813812574e-01,3.715382301347246868e-02
7.949099099099098398e-01,3.811430587281902649e-02
7.954384384384383111e-01,3.909711136811284959e-02
7.959669669669668934e-01,4.010268743284471638e-02
7.964954954954953648e-01,4.113148909917173357e-02
7.970240240240239471e-01,4.218397856228209980e-02
7.975525525525524184e-01,4.326062524408359755e-02
7.980810810810810008e-01,4.436190585618048077e-02
7.986096096096094721e-01,4.548830446208980416e-02
7.991381381381380544e-01,4.664031253865936338e-02
7.996666666666665257e-01,4.781842903663693217e-02
8.001951951951951081e-01,4.902316044035282677e-02
8.007237237237235794e-01,5.025502082646097352e-02
8.012522522522521617e-01,5.151453192170284828e-02
8.017807807807806331e-01,5.280222315963551544e-02
8.023093093093092154e-01,5.411863173628624762e-02
8.028378378378376867e-01,5.546430266467616832e-02
8.033663663663662691e-01,5.683978882817160294e-02
8.038948948948947404e-01,5.824565103260432447e-02
8.044234234234233227e-01,5.968245805711987900e-02
8.049519519519517941e-01,6.115078670369199915e-02
8.054804804804803764e-01,6.265122184526052129e-02
8.060090090090088477e-01,6.418435647243196651e-02
8.065375375375374301e-01,6.575079173869680105e-02
8.070660660660660124e-01,6.735113700410130799e-02
8.075945945945944837e-01,6.898600987732657341e-02
8.081231231231229550e-01,7.065603625611617533e-02
8.086516516516515374e-01,7.236185036599451781e-02
8.091801801801801197e-01,7.410409479722247783e-02
8.097087087087085910e-01,7.588342053993302194e-02
8.102372372372370624e-01,7.770048701738817287e-02
8.107657657657656447e-01,7.955596211729866474e-02
8.112942942942942270e-01,8.145052222114763929e-02
8.118228228228226984e-01,8.338485223146120673e-02
8.123513513513512807e-01,8.535964559696601617e-02
8.128798798798797520e-01,8.737560433556816608e-02
8.134084084084083344e-01,8.943343905510220404e-02
8.139369369369368057e-01,9.153386897177975823e-02
8.144654654654653880e-01,9.367762192628567575e-02
8.149939939939938593e-01,9.586543439744894812e-02
8.155225225225224417e-01,9.809805151343986562e-02
8.160510510510509130e-01,1.003762270604151852e-01
8.165795795795794954e-01,1.027007234885651821e-01
8.171081081081079667e-01,1.050723119154833712e-01
8.176366366366365490e-01,1.074917721268101867e-01
8.181651651651650203e-01,1.099598925740744443e-01
8.186936936936936027e-01,1.124774703696809486e-01
8.192222222222220740e-01,1.150453112789658894e-01
8.197507507507506563e-01,1.176642297092744260e-01
8.202792792792791277e-01,1.203350486959752358e-01
8.208078078078077100e-01,1.230585998853684221e-01
8.213363363363361813e-01,1.258357235144044184e-01
8.218648648648647637e-01,1.286672683871657730e-01
8.223933933933932350e-01,1.315540918480302135e-01
8.229219219219218173e-01,1.344970597514714705e-01
8.234504504504502886e-01,1.374970464284104021e-01
8.239789789789788710e-01,1.405549346490753970e-01
8.245075075075074533e-01,1.436716155822880259e-01
8.250360360360359246e-01,1.468479887511247861e-01
8.255645645645643960e-01,1.500849619848854122e-01
8.260930930930929783e-01,1.533834513673043298e-01
8.266216216216215606e-01,1.567443811809407783e-01
8.271501501501500320e-01,1.601686838476908958e-01
8.276786786786785033e-01,1.636572998653579580e-01
8.282072072072070856e-01,1.672111777402117416e-01
8.287357357357356680e-01,1.708312739154834448e-01
8.292642642642641393e-01,1.745185526957350464e-01
8.297927927927927216e-01,1.782739861670412651e-01
8.303213213213211930e-01,1.820985541129188923e-01
8.308498498498497753e-01,1.859932439259593118e-01
8.313783783783782466e-01,1.899590505150849928e-01
8.319069069069068290e-01,1.939969762083957328e-01
8.324354354354353003e-01,1.981080306515254630e-01
8.329639639639638826e-01,2.022932307014739806e-01
8.334924924924923539e-01,2.065536003158385259e-01
8.340210210210209363e-01,2.108901704374131214e-01
8.345495495495494076e-01,2.153039788740757632e-01
8.350780780780779899e-01,2.197960701739436751e-01
8.356066066066064613e-01,2.243674954957094458e-01
8.361351351351350436e-01,2.290193124741424224e-01
8.366636636636635149e-01,2.337525850806769223e-01
8.371921921921920973e-01,2.385683834790665869e-01
