x,y
1.540000000000000036e+00,1.487002508498734077e-03
1.540720720720720749e+00,1.535356071227759025e-03
1.541441441441441462e+00,1.585180311581198829e-03
1.542162162162162176e+00,1.636516461147276584e-03
1.542882882882882889e+00,1.689406792598018969e-03
1.543603603603603602e+00,1.743894642386475133e-03
1.544324324324324316e+00,1.800024433831672087e-03
1.545045045045045029e+00,1.857841700594783192e-03
1.545765765765765742e+00,1.917393110549966409e-03
1.546486486486486456e+00,1.978726490053225526e-03
1.547207207207207169e+00,2.041890848612648232e-03
1.547927927927927882e+00,2.106936403963156554e-03
1.548648648648648596e+00,2.173914607548974986e-03
1.549369369369369309e+00,2.242878170416854472e-03
1.550090090090090023e+00,2.313881089522984349e-03
1.550810810810810736e+00,2.386978674456536297e-03
1.551531531531531671e+00,2.462227574582539959e-03
1.552252252252252385e+00,2.539685806606691455e-03
1.552972972972973098e+00,2.619412782564968338e-03
1.553693693693693811e+00,2.701469338240058537e-03
1.554414414414414525e+00,2.785917762007230920e-03
1.555135135135135238e+00,2.872821824111795961e-03
1.555855855855855951e+00,2.962246806380166176e-03
1.556576576576576665e+00,3.054259532366539881e-03
1.557297297297297378e+00,3.148928397936971626e-03
1.558018018018018092e+00,3.246323402292491597e-03
1.558738738738738805e+00,3.346516179432866035e-03
1.559459459459459518e+00,3.449580030062239424e-03
1.560180180180180232e+00,3.555589953937965571e-03
1.560900900900900945e+00,3.664622682663606391e-03
1.561621621621621658e+00,3.776756712927032116e-03
1.562342342342342372e+00,3.892072340184235275e-03
1.563063063063063085e+00,4.010651692789421810e-03
1.563783783783783798e+00,4.132578766571699813e-03
1.564504504504504512e+00,4.257939459858466925e-03
1.565225225225225225e+00,4.386821608945485999e-03
1.565945945945945939e+00,4.519315024013305544e-03
1.566666666666666652e+00,4.655511525489553978e-03
1.567387387387387365e+00,4.795504980856450661e-03
1.568108108108108079e+00,4.939391341902561391e-03
1.568828828828828792e+00,5.087268682417632644e-03
1.569549549549549505e+00,5.239237236329153183e-03
1.570270270270270219e+00,5.395399436278931760e-03
1.570990990990990932e+00,5.555859952637876367e-03
1.571711711711711645e+00,5.720725732956804047e-03
1.572432432432432359e+00,5.890106041850855234e-03
1.573153153153153072e+00,6.064112501314839442e-03
1.573873873873874008e+00,6.242859131466616147e-03
1.574594594594594721e+00,6.426462391715046657e-03
1.575315315315315434e+00,6.615041222349528870e-03
1.576036036036036148e+00,6.808717086546631561e-03
1.576756756756756861e+00,7.007614012790094188e-03
