x,y
4.079999999999999738e-01,1.299322580241605522e-03
4.088248248248247951e-01,1.341573266121335890e-03
4.096496496496496165e-01,1.385109010119489484e-03
4.104744744744744378e-01,1.429965839837421451e-03
4.112992992992992591e-01,1.476180692561368394e-03
4.121241241241240805e-01,1.523791435094972889e-03
4.129489489489489018e-01,1.572836883930581924e-03
4.137737737737737231e-01,1.623356825762426597e-03
4.145985985985986000e-01,1.675392038344628194e-03
4.154234234234234213e-01,1.728984311696990300e-03
4.162482482482482427e-01,1.784176469661537690e-03
4.170730730730730640e-01,1.841012391812467397e-03
4.178978978978978853e-01,1.899537035722405690e-03
4.187227227227227067e-01,1.959796459587543130e-03
4.195475475475475280e-01,2.021837845214258678e-03
4.203723723723723493e-01,2.085709521369789182e-03
4.211971971971971707e-01,2.151460987499289809e-03
4.220220220220219920e-01,2.219142937811652890e-03
4.228468468468468133e-01,2.288807285736359828e-03
4.236716716716716347e-01,2.360507188753428656e-03
4.244964964964964560e-01,2.434297073598532413e-03
4.253213213213212773e-01,2.510232661845236864e-03
4.261461461461460987e-01,2.588370995866144317e-03
4.269709709709709200e-01,2.668770465174630149e-03
4.277957957957957968e-01,2.751490833148791375e-03
4.286206206206206182e-01,2.836593264139058383e-03
4.294454454454454395e-01,2.924140350960744393e-03
4.302702702702702608e-01,3.014196142772815074e-03
4.310950950950950822e-01,3.106826173343837580e-03
4.319199199199199035e-01,3.202097489706047517e-03
4.327447447447447249e-01,3.300078681198360866e-03
4.335695695695695462e-01,3.400839908898834786e-03
4.343943943943943675e-01,3.504452935447055235e-03
4.352192192192191889e-01,3.610991155256807004e-03
4.360440440440440102e-01,3.720529625119036159e-03
4.368688688688688315e-01,3.833145095195075389e-03
4.376936936936936529e-01,3.948916040399962253e-03
4.385185185185184742e-01,4.067922692175324727e-03
4.393433433433433510e-01,4.190247070651261993e-03
4.401681681681681724e-01,4.315973017196413422e-03
4.409929929929929937e-01,4.445186227355213925e-03
4.418178178178178150e-01,4.577974284171106197e-03
4.426426426426426364e-01,4.714426691894212790e-03
4.434674674674674577e-01,4.854634910071931909e-03
4.442922922922922790e-01,4.998692388020509712e-03
4.451171171171171004e-01,5.146694599675514376e-03
4.459419419419419217e-01,5.298739078818792865e-03
4.467667667667667430e-01,5.454925454679525158e-03
4.475915915915915644e-01,5.615355487906308063e-03
4.484164164164163857e-01,5.780133106907310060e-03
4.492412412412412070e-01,5.949364444555263649e-03
4.500660660660660284e-01,6.123157875253444106e-03
4.508908908908908497e-01,6.301624052358957041e-03
4.517157157157156711e-01,6.484875945959171425e-03
4.525405405405404924e-01,6.673028880996750498e-03
4.533653653653653137e-01,6.866200575738649718e-03
4.541901901901901906e-01,7.064511180584134332e-03
4.550150150150150119e-01,7.268083317206278440e-03
4.558398398398398332e-01,7.477042118021605226e-03
4.566646646646646546e-01,7.691515265981755181e-03
4.574894894894894759e-01,7.911633034680981558e-03
4.583143143143142972e-01,8.137528328772843794e-03
4.591391391391391186e-01,8.369336724689388149e-03
4.599639639639639399e-01,8.607196511655359691e-03
4.607887887887887612e-01,8.851248732989902210e-03
4.616136136136135826e-01,9.101637227688022178e-03
4.624384384384384039e-01,9.358508672273295817e-03
4.632632632632632252e-01,9.622012622913195951e-03
4.640880880880880466e-01,9.892301557788356348e-03
4.649129129129129234e-01,1.016953091970592901e-02
4.657377377377377448e-01,1.045385915894756802e-02
4.665625625625625661e-01,1.074544777634210344e-02
4.673873873873873874e-01,1.104446136655177178e-02
4.682122122122122088e-01,1.135106766156183770e-02
4.690370370370370301e-01,1.166543757436178282e-02
4.698618618618618514e-01,1.198774524280649123e-02
4.706866866866866728e-01,1.231816807364550723e-02
4.715115115115114941e-01,1.265688678670762526e-02
4.723363363363363154e-01,1.300408545922780885e-02
4.731611611611611368e-01,1.335995157030352327e-02
4.739859859859859581e-01,1.372467604546608218e-02
4.748108108108107794e-01,1.409845330135317716e-02
4.756356356356356008e-01,1.448148129046793881e-02
4.764604604604604221e-01,1.487396154600926362e-02
4.772852852852852434e-01,1.527609922675786554e-02
4.781101101101100648e-01,1.568810316200235783e-02
4.789349349349348861e-01,1.611018589648849364e-02
4.797597597597597074e-01,1.654256373537496896e-02
4.805845845845845843e-01,1.698545678917847204e-02
4.814094094094094056e-01,1.743908901868980801e-02
4.822342342342342270e-01,1.790368827984323979e-02
4.830590590590590483e-01,1.837948636852012110e-02
4.838838838838838696e-01,1.886671906526743089e-02
4.847087087087086910e-01,1.936562617991178376e-02
